question	answer	description
函館が位置する都道府県はどこ？	北海道	函館は北海道南部に位置しています。
「世界三大夜景」函館の他にあと２つの都市はどこ？	香港、ナポリ	函館山の夜景は特に美しいことで有名です。
北海道初の鉄道が開通したのは函館からどこへの区間？	札幌	函館～札幌間の鉄道が歴史的に重要です。
函館にある五稜郭の形は何？	星形	五稜郭は星形の城郭として知られています。
五稜郭の建設を指導したのは誰？	武田斐三郎	西洋式の城郭を設計しました。
函館の歴史的建造物である「旧イギリス領事館」はどの時代に建てられた？	明治時代	日本の外交と交易を支えた建物です。
函館が国際貿易港として開港したのは西暦何年？	1859年	安政6年に開港されました。
函館の名物である「イカ」はどの漁港で多く水揚げされる？	函館漁港	新鮮なイカが函館のグルメの象徴です。
函館の朝市では特に人気の海鮮丼に乗せられる魚介は何？	イクラとウニ	豪華な海鮮丼が人気です。
函館の名物ラーメンは何スープ？	塩スープ	函館塩ラーメンは透明なスープが特徴です。
函館の郷土料理「いかめし」はどの駅の駅弁として有名？	森駅	いかめしは森駅の名物駅弁です。
函館の歴史的建造物「函館ハリストス正教会」は何宗教の教会？	キリスト教正教会	日本初の正教会として知られています。
函館市内の観光地「元町」は何が特に多い地域？	歴史的建造物	西洋風の建物が多くあります。
湯の川温泉はどのような効能があると言われている？	美肌効果	リラックスできる温泉地です。
函館の有名な市場「自由市場」では特に何が販売されている？	海鮮	地元の新鮮な魚介類が揃っています。
函館を代表する観光名所「トラピスチヌ修道院」は何を目的とした施設？	カトリック修道院	日本初の女性修道院です。
函館市内の「赤レンガ倉庫」は現在何として使われている？	商業施設	観光客に人気のショッピングスポットです。
函館山は何メートルの高さ？	334メートル	函館山は観光名所としても有名です。
函館の歴史で「箱館戦争」が起こったのは何年？	1869年	戊辰戦争の一環として行われました。
函館の名物スイーツ「チーズオムレット」が有名な店の名前は？	スナッフルス	函館土産として人気です。
函館のローカルグルメ「やきとり弁当」の特徴は何？	豚肉を使用	焼き鳥と名付けられていますが豚肉が使われます。
五稜郭タワーから眺めることができる名所は何？	五稜郭公園	桜の名所としても知られています。
函館で毎年夏に開催されるお祭りの名前は何？	函館港まつり	港をテーマにした盛大な祭りです。
函館の歴史的な和洋折衷建築である「旧函館区公会堂」は何色の外壁？	青緑色	美しい外観が特徴です。
函館の名物「カニ」はどの時期に食べられることが多い？	冬	冬の味覚として人気があります。
函館の「ラッキーピエロ」はどのジャンルの料理で有名？	ハンバーガー	地元に根付いた人気店です。
函館は何年に国際貿易港として開港された？	1859年	安政6年に開港され、日本の開国の象徴となりました。
幕末の五稜郭を拠点にした戦争の名前は何？	箱館戦争	戊辰戦争の一環として行われました。
五稜郭を建設した目的は何？	防衛	西洋式城郭で敵を防ぐ目的がありました。
函館ハリストス正教会が設立されたのは何時代？	明治時代	日本で初めて設立された正教会です。
江戸幕府が函館を外国との貿易港にした理由は何？	地理的な要所	北方地域へのアクセスが良い場所だからです。
旧イギリス領事館が函館に設置された目的は何？	外交支援	函館の貿易と国際関係の拠点として機能しました。
幕末の箱館戦争で活躍した新政府軍の指揮官は誰？	黒田清隆	新政府軍の指揮官として有名です。
箱館戦争で旧幕府軍を率いた人物は誰？	榎本武揚	旧幕府軍の指導者として戦いました。
五稜郭の設計を担当した人物は誰？	武田斐三郎	西洋式の城郭を設計しました。
五稜郭の建設が完了した年は何年？	1864年	幕末に完成した城郭です。
函館市内に残る明治時代の和洋折衷建築の例は何？	旧函館区公会堂	青緑色の外壁が特徴的です。
函館が蝦夷地（北海道）の中心地となったのはどの時代？	江戸時代	北方開拓の拠点でした。
函館山が防衛拠点として利用されたのは何時代？	幕末	箱館戦争では重要な場所でした。
箱館戦争後に五稜郭が使われた目的は何？	行政施設	地方官庁として利用されました。
函館の開港とともに結ばれた条約は何？	日米修好通商条約	日本の開国に重要な役割を果たしました。
トラピスチヌ修道院の設立年は何年？	1898年	日本初のカトリック女性修道院です。
函館の赤レンガ倉庫が建設されたのはどの時代？	明治時代	貿易拠点として使用されました。
函館市の元町地区が繁栄した背景は何？	国際貿易	開港後、多くの外国人が居住しました。
箱館戦争で活躍した艦船「開陽丸」の出自はどこの国？	オランダ	旧幕府軍が購入した戦艦です。
函館の五稜郭跡が公園として公開された年は何年？	1914年	桜の名所として親しまれています。
函館の旧市街地が火災で壊滅的な被害を受けた出来事は何？	1907年の大火	市街地の再建が行われました。
箱館戦争の際に新政府軍が利用した武器は何？	洋式銃	旧幕府軍と対等に戦うための武器です。
五稜郭が西洋式城郭として注目される理由は何？	星形の設計	防御力が高い形状です。
函館の開港後に多く進出した外国人の主な職業は何？	商人	貿易やビジネスの発展に寄与しました。
函館が開港された背景にある日本の政策は何？	開国政策	外圧を受けて貿易を開始しました。
函館市内の歴史的建造物「旧函館郵便局舎」は何年に建てられた？	1915年	レンガ造りの建物です。
江戸時代の函館に多く暮らしていた先住民族の名前は何？	アイヌ	北方地域の文化を担いました。
函館の市街地が再整備されたきっかけとなった出来事は何？	1907年の大火	近代的な都市計画が導入されました。
函館山の旧陸軍砲台跡が設置された理由は何？	防衛	外敵に備える目的でした。
