question	answer	description
「うれしい」という気持ちを表す四字熟語は何？	喜怒哀楽	人間の感情を表す四字熟語です。
次の言葉の中で対義語になっているものはどれ？「大きい」「小さい」	小さい	意味が反対の言葉を選びます。
日本の国旗「日の丸」の赤い丸は何を表している？	太陽	日の丸は日本の象徴です。
「おはようございます」は何時に使う挨拶？	朝	朝の挨拶です。
「一石二鳥」という言葉の意味は何？	一つの行動で二つの成果	効率よく成果を上げるという意味です。
日本の都道府県は全部でいくつある？	47	日本には47の都道府県があります。
春夏秋冬のうち、「桜」が咲く季節はどれ？	春	日本の象徴的な季節です。
「手紙」や「ハガキ」を出すときに使う料金を何と言う？	郵便料金	郵便局で支払います。
日本の歴史で、鎌倉時代の次に来る時代は何？	室町時代	武家政治が続いた時代です。
「りんご」「たまねぎ」「キャベツ」果物に当てはまるものはどれ？	りんご	果物の例です。
敬語の「おっしゃる」は何という動詞を丁寧にした言葉？	言う	相手に敬意を表す言葉です。
「太平洋」「琵琶湖」「瀬戸内海」三大洋に含まれる海はどれ？	太平洋	地球上で大きな海の一つです。
「地球儀」とは何を表したものですか？	地球	地球の形を表した模型です。
「昨日」「いま」「将来」未来を指す言葉はどれ？	将来	これからのことを意味します。
「風が吹けば桶屋がもうかる」ということわざの意味は何？	一つの出来事が予想外の結果をもたらす	因果関係を表すことわざです。
江戸時代、最初に訪れた外国人が使った港の名前は何？	長崎	貿易のために開かれていました。
「海」「山」「風」さんずいが含まれているのはどれ？	海	水に関係する意味を持つ部首です。
明治時代に作られた有名な建物「東京駅」はどこにありますか？	東京都	東京のシンボル的存在です。
「おじいさん」「おばあさん」「パソコン」昔話に登場しないものは？	パソコン	現代の道具です。
学校で「給食」が始まった時期はどの時代？	昭和時代	日本の教育の一環として提供されました。
「助け合い」という言葉を英語で何と言う？	Cooperation	協力や助け合いを意味します。
お米を育てるために必要な水を引く仕組みは何？	用水路	田んぼに水を供給します。
日本の国会には「衆議院」ともう一つ何がありますか？	参議院	二院制を採用しています。
「オリオン座」「さそり座」「北斗七星」夏休み中に見られる「星座」はどれ？	さそり座	夏に見られる星座の一つです。
日本では何月に「成人の日」がある？	1月	新成人を祝う日です。
「桃太郎」が鬼退治に行く途中で仲間に加わった動物は何？	犬、猿、キジ	昔話の有名な登場キャラクターです。
日本の地図で「緑色」で描かれている部分は何を表している？	山や森林	地図記号として使われます。
「アフリカ」「日本」「ハワイ」大陸はどれ？	アフリカ	世界の主要な陸地の一つです。
「山に木を植えること」を何と呼ぶ？	植林	環境保護の活動の一つです。
「歴史書」として有名な『日本書紀』が編纂された時期はどの時代？	奈良時代	日本の古代史を記録した書物です。
